Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
16,1.9865,128,0.5613,8,139,162,0.49149049
15,1.9678,114,0.559,12,153,148,0.40113898
15,1.9522,134,0.5567,5,149,152,0.36534879
18,1.9823,164,0.5545,4,129,172,0.42389268
17,1.9443,110,0.5522,16,173,128,0.46342292
21,1.9948,178,0.55,8,141,160,0.48136329
22,1.9476,180,0.5477,10,168,133,0.5426146
14,1.9383,120,0.5455,5,169,132,0.39014039
26,1.9636,220,0.5433,11,167,134,0.64579727
17,1.9685,170,0.541,0,120,181,0.42772506
25,1.9805,230,0.5387,7,165,136,0.56752976
20,1.9541,152,0.5365,13,182,119,0.46073845
16,1.356,132,0.5342,9,175,126,0.41487056
18,2.0262,156,0.532,8,167,134,0.4598165
16,1.9379,104,0.5297,15,164,137,0.38844963
18,1.9725,156,0.5275,6,133,168,0.50463061
29,1.9638,270,0.5252,7,162,139,0.66535681
14,1.9528,128,0.523,3,158,143,0.38098551
16,2.1984,140,0.5207,5,178,123,0.35673917
23,2.1089,210,0.5185,6,149,152,0.50251779
21,2.1539,158,0.5162,15,165,136,0.53049846
16,2.4229,116,0.514,11,145,156,0.4671318
22,2.0658,212,0.5117,2,184,117,0.510216
17,1.7188,142,0.5095,9,171,130,0.38627521
15,2.1202,110,0.5072,11,186,115,0.31795774
18,2.191,160,0.505,6,162,139,0.36283625
24,2.0689,240,0.5027,0,166,135,0.45702546
9,2.0704,78,0.5005,3,122,179,0.30989387
20,2.0983,188,0.4982,3,123,178,0.50047878
20,2.1226,172,0.496,7,147,154,0.51562312
23,1.9003,186,0.4937,14,171,130,0.55915184
19,1.345,178,0.4915,3,167,134,0.47229025
17,1.8489,138,0.4892,9,172,129,0.44909354
18,1.9826,52,0.487,33,155,146,0.65858431
24,1.9589,214,0.4847,4,143,158,0.57519781
23,1.9923,232,0.4825,2,153,148,0.63255068
25,1.9956,222,0.4802,9,159,142,0.52197279
16,2.0256,124,0.478,9,134,167,0.63627764
18,1.9504,144,0.4757,10,162,139,0.41164651
21,1.9668,102,0.4735,27,171,130,0.75096489
25,1.9547,234,0.4712,5,163,138,0.56586154
