13,1.9082,78,0.7322,13,122,179,0.508429
19,1.9865,130,0.73,15,138,163,0.52689505
14,2.0179,96,0.7277,12,133,168,0.4524113
17,2.0995,118,0.7255,14,122,179,0.53094302
16,1.6149,124,0.7232,10,131,170,0.47796944
16,2.0835,128,0.721,8,127,174,0.47708461
17,2.0384,122,0.7188,12,136,165,0.46211769
17,2.1589,170,0.7165,0,135,166,0.52151093
12,2.0609,76,0.7142,11,126,175,0.39679294
20,1.9626,112,0.712,22,140,161,0.5363476
21,2.0367,194,0.7097,4,138,163,0.47962523
21,1.9112,90,0.7075,31,137,164,0.61224768
18,1.3444,136,0.7052,12,120,181,0.47965192
17,1.6129,146,0.703,7,126,175,0.43419976
19,1.9687,174,0.7007,5,117,184,0.47083116
12,1.9808,72,0.6985,12,135,166,0.46890067
13,2.1552,38,0.6963,23,122,179,0.51736211
17,1.993,134,0.694,9,146,155,0.43778103
18,2.1972,112,0.6917,17,141,160,0.52329727
13,2.0178,82,0.6895,15,122,179,0.37932779
21,1.4382,170,0.6872,10,147,154,0.51255179
16,1.6796,72,0.685,23,147,154,0.50165223
18,1.945,132,0.6827,12,154,147,0.4902199
17,1.9078,138,0.6805,11,138,163,0.44704119
17,2.0406,110,0.6783,15,152,149,0.44632132
18,1.8985,172,0.676,2,138,163,0.45327884
20,2.1524,172,0.6737,7,145,156,0.46911233
23,1.6986,178,0.6715,13,149,152,0.4676802
19,1.4607,178,0.6692,4,138,163,0.41280986
18,1.8669,124,0.667,17,153,148,0.509567
21,1.8564,178,0.6647,9,136,165,0.45409297
18,1.8992,152,0.6625,8,150,151,0.39877816
19,1.8941,142,0.6603,12,151,150,0.41194947
21,2.1061,186,0.658,6,146,155,0.42324205
19,1.9683,114,0.6557,19,115,186,0.58568769
18,2.1094,132,0.6535,14,139,162,0.44115421
24,1.5624,164,0.6512,19,150,151,0.50469403
24,1.3887,216,0.649,7,151,150,0.58878977
19,1.7844,154,0.6467,12,130,171,0.49019891
19,2.0538,134,0.6445,15,154,147,0.58650569
18,1.8908,172,0.6422,3,142,159,0.41086393
21,1.8252,186,0.64,6,145,156,0.43496496
24,1.1907,240,0.6378,0,154,147,0.55736314
25,1.4311,190,0.6355,17,154,147,0.55452036
20,2.1668,176,0.6332,6,135,166,0.46709884
