Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
3,1.1432,17,0.64,13,163,138,0.03879372
10,1.1567,68,0.6378,32,159,142,0.11942639
5,1.1522,40,0.6355,11,163,138,0.06669316
2,1.1888,9,0.6332,12,180,121,0.02857995
11,1.3556,97,0.631,13,126,175,0.12246038
4,1.3592,26,0.6287,14,151,150,0.05012677
3,1.1903,16,0.6265,14,149,152,0.04093165
4,1.2846,22,0.6242,19,127,174,0.05265534
6,1.2961,56,0.622,4,143,158,0.06525924
3,1.3229,3,0.6198,27,132,169,0.04591072
5,1.2899,48,0.6175,3,144,157,0.05566355
6,1.2765,44,0.6152,16,160,141,0.07127827
4,1.1398,24,0.613,16,132,169,0.05788443
5,1.1566,46,0.6107,4,125,176,0.05655805
5,1.1431,25,0.6085,26,146,155,0.06543128
5,1.1539,36,0.6062,14,153,148,0.06053396
8,1.1563,56,0.604,24,149,152,0.09666315
4,1.1345,23,0.6018,17,162,139,0.05475638
13,1.1402,124,0.5995,6,158,143,0.14086892
6,1.1573,33,0.5972,28,113,188,0.08724359
11,1.164,89,0.595,22,156,145,0.14574963
9,1.1412,80,0.5927,10,118,183,0.20890556
16,1.1344,153,0.5905,7,159,142,0.19276358
14,1.144,92,0.5882,39,150,151,0.19928577
11,1.1404,114,0.586,8,138,163,0.20407323
17,1.1501,145,0.5837,29,175,126,0.33449489
17,1.18,144,0.5815,19,170,131,0.24412738
15,1.1561,147,0.5792,15,151,150,0.28454811
23,1.2039,221,0.577,13,148,153,0.39481027
19,1.1373,167,0.5747,26,165,136,0.44941579
20,1.1387,177,0.5725,26,176,125,0.45021621
22,1.1689,208,0.5702,20,173,128,0.33091289
19,1.1671,178,0.568,13,161,140,0.38752619
17,1.1396,169,0.5657,2,125,176,0.35004685
10,1.1222,90,0.5635,12,156,145,0.1928054
19,1.138,172,0.5613,22,170,131,0.34113551
21,1.1333,207,0.559,9,168,133,0.4654208
17,1.1482,156,0.5567,5,129,172,0.46723151
22,1.1542,223,0.5545,13,155,146,0.50554535
18,1.1351,168,0.5522,12,158,143,0.42478779
22,1.1424,219,0.55,3,163,138,0.51920541
23,1.1338,222,0.5477,8,136,165,0.46263656
25,1.1364,246,0.5455,4,169,132,0.57989131
19,1.1425,180,0.5433,10,131,170,0.59245253
22,1.1397,216,0.541,5,137,164,0.38545093
26,1.139,244,0.5387,17,163,138,0.56997167
23,1.1416,226,0.5365,5,146,155,0.66152054
25,1.1369,245,0.5342,5,154,147,0.49755536
23,1.1429,219,0.532,12,173,128,0.45067205
28,1.1533,280,0.5297,0,147,154,0.52763956
25,1.1351,245,0.5275,6,160,141,0.63025662
31,1.1498,302,0.5252,8,151,150,0.53515727
26,1.1533,236,0.523,25,168,133,0.60289247
23,1.1803,222,0.5207,8,166,135,0.5889296
30,1.1211,278,0.5185,18,183,118,0.56306841
31,1.1286,313,0.5162,11,181,120,0.60182091
30,1.1327,291,0.514,15,187,114,0.56199458
26,1.131,258,0.5117,6,184,117,0.60901734
31,1.1415,289,0.5095,16,183,118,0.56942053
27,1.1441,276,0.5072,6,187,114,0.4473235
26,1.1583,248,0.505,14,167,134,0.56039693
24,1.1409,228,0.5027,14,149,152,0.41005644
25,1.1687,238,0.5005,13,156,145,0.41439488
26,1.1446,257,0.4982,7,171,130,0.5523262
34,1.153,334,0.496,9,186,115,0.61779999
28,1.1447,277,0.4937,5,163,138,0.51463208
23,1.1347,224,0.4915,12,184,117,0.44471212
28,1.1329,277,0.4892,5,171,130,0.44004673
28,1.1356,276,0.487,6,162,139,0.54679184
27,1.136,265,0.4847,7,183,118,0.53243409
24,1.1263,237,0.4825,3,157,144,0.4352744
31,1.1287,303,0.4802,8,165,136,0.54752007
18,1.1393,175,0.478,5,165,136,0.39721894
23,1.1325,224,0.4757,6,151,150,0.38118135
26,1.1261,253,0.4735,7,181,120,0.35848037
29,1.1369,282,0.4712,11,174,127,0.45119522
27,1.1282,254,0.469,6,193,108,0.39770538
27,1.1322,278,0.4667,3,165,136,0.36421423
25,1.1768,250,0.4645,1,151,150,0.40407363
28,1.1764,279,0.4622,3,172,129,0.34173308
26,1.1428,249,0.46,13,132,169,0.44145541
28,1.1371,270,0.4577,11,170,131,0.5188813
20,1.1522,192,0.4555,8,161,140,0.32551977
29,1.1531,281,0.4532,10,170,131,0.44939799
27,1.1614,262,0.451,10,178,123,0.42507463
28,1.1546,269,0.4487,14,201,100,0.48446353
35,1.1601,337,0.4465,20,201,100,0.47553691
31,1.1376,308,0.4442,4,191,110,0.49027953
27,1.1751,270,0.442,0,176,125,0.45724084
30,1.151,300,0.4397,0,171,130,0.44963233
30,1.1404,297,0.4375,5,169,132,0.48624827
33,1.1392,324,0.4352,8,177,124,0.51095563
33,1.1417,323,0.433,7,173,128,0.64426423
27,1.1822,270,0.4307,0,166,135,0.54687542
35,1.1455,341,0.4285,13,193,108,0.53222716
20,1.1276,189,0.4262,13,186,115,0.369367
33,1.1385,326,0.424,5,174,127,0.42028055
33,1.1341,326,0.4217,8,185,116,0.488624
37,1.1515,361,0.4195,10,183,118,0.48905836
34,1.1366,336,0.4172,10,198,103,0.53026362
32,1.1241,319,0.415,3,199,102,0.38919983
30,1.1243,293,0.4127,8,188,113,0.47371327
30,1.1368,291,0.4105,14,170,131,0.48040611
36,1.128,353,0.4082,8,183,118,0.53773664
29,1.1209,286,0.406,4,184,117,0.41268189
28,1.1323,270,0.4037,0,167,134,0.45442733
25,1.1324,254,0.4015,6,161,140,0.41706004
35,1.1339,347,0.3992,6,183,118,0.52164969
29,1.1326,289,0.397,4,171,130,0.37924051
29,1.1488,286,0.3947,5,177,124,0.34229088
30,1.1647,300,0.3925,2,183,118,0.34949112
33,1.1576,330,0.3902,1,196,105,0.43345406
32,1.1402,315,0.388,7,187,114,0.44063951
32,1.1294,312,0.3857,12,204,97,0.51056482
34,1.1544,330,0.3835,11,190,111,0.50463005
31,1.1325,303,0.3812,8,196,105,0.38919218
30,1.1407,288,0.379,13,186,115,0.42034442
32,1.1381,318,0.3767,3,171,130,0.54305268
37,1.1497,367,0.3745,4,177,124,0.459816
33,1.1414,326,0.3722,5,186,115,0.43015748
34,1.135,329,0.37,3,179,122,0.41368715
32,1.142,317,0.3677,6,194,107,0.51191107
34,1.1456,348,0.3655,5,186,115,0.42577599
30,1.1266,282,0.3632,24,213,88,0.40641306
36,1.1283,355,0.361,10,211,90,0.41328637
32,1.1395,318,0.3587,2,182,119,0.48531535
34,1.1444,339,0.3565,2,185,116,0.48496798
35,1.1298,343,0.3542,9,176,125,0.39632711
32,1.1527,315,0.352,5,180,121,0.3675
33,1.1418,329,0.3497,3,182,119,0.39558804
34,1.134,340,0.3475,1,180,121,0.43205985
35,1.1514,338,0.3452,3,181,120,0.44522055
31,1.1544,309,0.343,11,206,95,0.39251523
36,1.1435,357,0.3407,7,211,90,0.38137377
36,1.1595,356,0.3385,10,225,76,0.41406529
31,1.1298,303,0.3362,14,193,108,0.3895123
34,1.1514,339,0.334,2,191,110,0.38772571
30,1.1591,296,0.3317,5,180,121,0.37222498
35,1.1297,341,0.3295,10,187,114,0.32698142
36,1.1352,341,0.3272,11,205,96,0.36392175
36,1.1326,366,0.325,8,214,87,0.36188084
34,1.1728,336,0.3227,11,211,90,0.40618021
37,1.141,368,0.3205,4,181,120,0.47555299
33,1.1352,318,0.3182,26,221,80,0.42649738
35,1.1409,330,0.316,26,219,82,0.36553975
39,1.1412,380,0.3137,18,227,74,0.46313157
36,1.1447,340,0.3115,24,223,78,0.40718304
35,1.1623,353,0.3092,16,220,81,0.3946452
30,1.133,290,0.307,16,204,97,0.40155742
45,1.1336,441,0.3047,18,221,80,0.51027251
36,1.131,348,0.3025,22,220,81,0.46528231
30,1.1278,296,0.3002,14,214,87,0.38307616
34,1.1364,335,0.298,13,210,91,0.39355256
32,1.1256,309,0.2957,19,209,92,0.37738686
29,1.1285,283,0.2935,14,215,86,0.33139871
37,1.1288,364,0.2912,13,224,77,0.36684404
34,1.1317,318,0.289,25,224,77,0.38813958
33,1.1307,338,0.2867,2,201,100,0.35219617
36,1.1247,353,0.2845,14,213,88,0.38373744
40,1.1334,393,0.2822,15,222,79,0.41617722
43,1.1787,413,0.28,27,219,82,0.47151637
33,1.1606,306,0.2777,23,222,79,0.30855444
35,1.1407,345,0.2755,24,231,70,0.35252541
41,1.1457,403,0.2732,15,231,70,0.55771517
33,1.1422,323,0.271,15,226,75,0.41806736
40,1.1466,392,0.2687,15,223,78,0.45514408
38,1.1517,376,0.2665,11,219,82,0.39332308
36,1.152,352,0.2642,16,217,84,0.38316583
35,1.1482,347,0.262,6,209,92,0.33717744
38,1.1387,380,0.2597,2,194,107,0.56990065
34,1.1402,334,0.2575,6,212,89,0.37073776
35,1.1429,348,0.2552,4,177,124,0.48835689
38,1.1772,379,0.253,3,210,91,0.44345297
39,1.1278,388,0.2507,2,183,118,0.41142448
33,1.132,330,0.2485,0,172,129,0.40265699
36,1.133,356,0.2462,4,173,128,0.39489742
36,1.1478,358,0.244,3,195,106,0.35872467
44,1.1494,440,0.2417,0,187,114,0.48862826
35,1.1341,347,0.2395,4,185,116,0.43617949
36,1.1275,360,0.2372,0,171,130,0.33543077
35,1.1367,347,0.235,3,183,118,0.32340508
34,1.1279,338,0.2327,2,182,119,0.42196298
34,1.1449,337,0.2305,3,186,115,0.36836384
34,1.1336,335,0.2282,5,181,120,0.37060809
36,1.1351,356,0.226,5,187,114,0.35920898
39,1.1524,387,0.2237,3,187,114,0.40064618
39,1.1312,386,0.2215,4,181,120,0.34090777
33,1.1314,330,0.2192,0,193,108,0.27992612
40,1.1384,400,0.217,0,181,120,0.4168092
38,1.1504,380,0.2147,0,183,118,0.37860353
39,1.1404,388,0.2125,2,196,105,0.34492535
32,1.1336,320,0.2102,0,201,100,0.31103893
32,1.13,320,0.208,0,172,129,0.25482756
38,1.1851,374,0.2057,6,193,108,0.31467824
33,1.2545,312,0.2035,8,196,105,0.34243806
37,1.1299,368,0.2012,2,190,111,0.3370373
41,1.1325,420,0.199,0,173,128,0.43906308
35,1.1429,350,0.1967,0,195,106,0.33923798
35,1.1314,346,0.1945,4,181,120,0.3930146
36,1.1531,360,0.1922,0,179,122,0.33397717
39,1.1317,378,0.19,2,186,115,0.33171378
29,1.1486,297,0.1877,3,174,127,0.38270658
34,1.1739,340,0.1855,0,193,108,0.30691597
36,1.138,358,0.1832,2,186,115,0.32786766
35,1.1361,343,0.181,7,195,106,0.39869965
37,1.1423,370,0.1787,0,187,114,0.41444536
40,1.1379,390,0.1765,0,192,109,0.35549282
41,1.1355,408,0.1742,2,194,107,0.40808876
37,1.1341,380,0.172,0,188,113,0.353488
36,1.1373,358,0.1697,2,182,119,0.30075189
36,1.1347,357,0.1675,3,193,108,0.35439817
39,1.1283,390,0.1652,0,193,108,0.38661673
43,1.1391,428,0.163,2,188,113,0.41485358
37,1.1316,365,0.1607,5,204,97,0.34505529
33,1.137,330,0.1585,0,192,109,0.29917883
38,1.1554,370,0.1562,0,191,110,0.32424409
