Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
29,1.7587,281,0.2305,9,180,121,0.68011383
30,1.7299,298,0.2282,2,163,138,0.56857616
33,1.7325,316,0.226,15,186,115,0.53157017
31,1.7463,300,0.2237,11,192,109,0.63457683
35,1.1168,335,0.2215,8,202,99,0.53215429
36,1.2267,368,0.2192,2,158,143,0.72826796
33,1.7305,326,0.217,4,181,120,0.61209009
37,1.7235,370,0.2147,1,193,108,0.60502533
30,1.7236,298,0.2125,2,183,118,0.53637787
34,1.861,334,0.2102,6,179,122,0.60489075
31,1.8688,305,0.208,6,207,94,0.61976664
35,1.8694,344,0.2057,10,204,97,0.65959743
31,2.0362,308,0.2035,2,165,136,0.61261678
38,1.864,375,0.2012,5,188,113,0.681061
35,1.9767,348,0.199,2,202,99,0.71559245
34,1.9205,326,0.1967,12,206,95,0.59590114
41,1.8911,416,0.1945,10,211,90,0.72148687
35,1.7813,347,0.1922,5,177,124,0.62984261
34,1.7732,340,0.19,1,191,110,0.64171195
34,1.7562,340,0.1877,0,184,117,0.63857673
35,1.748,338,0.1855,13,209,92,0.68954065
38,1.9021,375,0.1832,9,206,95,0.61893844
30,1.7352,300,0.181,2,196,105,0.5515232
37,1.7408,358,0.1787,12,178,123,0.74239765
35,1.7285,348,0.1765,2,191,110,0.61554455
33,1.7323,327,0.1742,3,184,117,0.63348062
30,1.2781,300,0.172,0,183,118,0.57414376
33,1.0915,324,0.1697,6,188,113,0.51803674
37,1.6737,370,0.1675,0,170,131,0.66154815
36,1.7352,360,0.1652,0,164,137,0.66001339
36,1.7224,357,0.163,4,173,128,0.65491828
38,1.7195,370,0.1607,0,185,116,0.5803065
39,1.7304,400,0.1585,0,170,131,0.72396148
34,1.7231,337,0.1562,3,178,123,0.65860363
33,1.7556,327,0.154,3,168,133,0.64822739
36,1.7359,356,0.1517,4,188,113,0.62106375
33,1.7401,330,0.1495,0,170,131,0.58160118
41,1.3123,410,0.1472,0,171,130,0.71909709
35,1.0766,349,0.145,2,194,107,0.60987474
34,1.553,340,0.1427,1,183,118,0.60433039
37,1.7425,370,0.1405,0,171,130,0.70762972
36,1.8044,360,0.1382,0,191,110,0.60975113
30,1.7329,295,0.136,5,182,119,0.55985763
33,1.7538,326,0.1337,4,194,107,0.56792203
38,1.7484,374,0.1315,6,184,117,0.66898941
34,1.7199,338,0.1292,2,189,112,0.49855958
36,1.8692,356,0.127,4,182,119,0.79551331
36,1.9408,358,0.1247,2,186,115,0.63952516
38,1.9007,380,0.1225,1,204,97,0.59746311
40,1.8604,398,0.1202,2,185,116,0.69032115
40,1.8494,394,0.118,6,189,112,0.81732869
33,1.7839,330,0.1157,0,186,115,0.58498302
37,2.0357,370,0.1135,0,187,114,0.60032651
33,1.9842,318,0.1112,12,187,114,0.65473755
34,1.8589,337,0.109,3,187,114,0.55485289
35,1.7503,340,0.1067,1,186,115,0.53868443
37,1.3077,375,0.1045,5,177,124,0.7666155
37,1.5696,368,0.1022,2,183,118,0.70732274
