Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
20,1.8843,182,0.6355,30,151,150,0.53077531
19,1.8684,178,0.6332,16,154,147,0.6528619
23,1.8488,219,0.631,13,146,155,0.55277075
22,1.9282,211,0.6287,11,156,145,0.53628678
20,1.3379,181,0.6265,23,157,144,0.53295195
27,1.8952,256,0.6242,21,158,143,0.50132834
22,1.9271,200,0.622,25,187,114,0.37782082
22,1.8422,211,0.6198,9,141,160,0.51222648
24,1.8817,221,0.6175,24,159,142,0.53383944
21,1.6579,204,0.6152,8,159,142,0.49135916
21,1.2443,197,0.613,15,163,138,0.43293828
16,1.6432,132,0.6107,20,143,158,0.43489776
20,1.8721,192,0.6085,10,159,142,0.4503032
20,1.8749,208,0.6062,4,153,148,0.40506797
22,1.903,210,0.604,11,147,154,0.39749708
25,1.8791,243,0.6018,7,163,138,0.47167924
25,1.8459,236,0.5995,15,142,159,0.56156795
24,1.861,227,0.5972,17,160,141,0.61643606
28,1.4139,270,0.595,14,171,130,0.54007703
25,1.2384,231,0.5927,22,163,138,0.56122689
25,1.863,246,0.5905,6,163,138,0.46231707
25,1.865,245,0.5882,8,171,130,0.49859876
25,1.8582,242,0.586,9,164,137,0.53861809
19,1.8481,186,0.5837,7,153,148,0.40858929
22,1.884,205,0.5815,20,155,146,0.53537706
25,1.9941,246,0.5792,4,162,139,0.50415265
26,1.8737,256,0.577,10,180,121,0.48926143
20,1.8785,166,0.5747,39,163,138,0.47465625
24,1.5729,233,0.5725,10,156,145,0.57377339
27,1.2225,266,0.5702,8,171,130,0.59665344
27,1.9068,270,0.568,2,167,134,0.5718298
28,1.8741,270,0.5657,16,179,122,0.50094253
25,1.8968,240,0.5635,14,162,139,0.58830873
28,1.8423,271,0.5613,12,164,137,0.58180571
27,1.8504,258,0.559,14,183,118,0.55446233
30,1.8929,290,0.5567,13,176,125,0.61133951
24,1.9151,227,0.5545,15,161,140,0.51821454
24,1.3857,234,0.5522,8,168,133,0.40827152
27,1.9125,263,0.55,11,171,130,0.55676166
22,1.8878,218,0.5477,3,161,140,0.49690502
35,1.8663,342,0.5455,11,169,132,0.59626723
25,1.8799,246,0.5433,4,137,164,0.56018375
27,1.8762,254,0.541,19,170,131,0.47342209
30,1.8584,298,0.5387,5,173,128,0.65478076
26,1.8938,260,0.5365,0,170,131,0.60902041
23,1.4581,214,0.5342,17,168,133,0.52026451
34,1.8188,333,0.532,12,188,113,0.66272218
26,1.9161,258,0.5297,4,160,141,0.59186149
30,1.8661,297,0.5275,8,190,111,0.65840193
33,1.8505,325,0.5252,9,179,122,0.67300357
29,1.8697,282,0.523,15,183,118,0.54337589
31,1.8971,303,0.5207,10,177,124,0.52537425
29,1.8761,279,0.5185,17,189,112,0.55029463
31,1.5994,298,0.5162,17,191,110,0.61945837
31,1.1936,301,0.514,13,168,133,0.56695347
36,1.2204,346,0.5117,7,177,124,0.57222733
28,1.8694,284,0.5095,10,167,134,0.5221825
28,1.863,278,0.5072,4,161,140,0.55905685
30,1.8897,296,0.505,8,188,113,0.46973363
34,1.9315,324,0.5027,19,183,118,0.6243007
31,1.9096,310,0.5005,1,151,150,0.70983702
30,1.9626,290,0.4982,12,171,130,0.52239411
32,1.9916,318,0.496,3,182,119,0.52108225
31,1.8864,303,0.4937,8,157,144,0.62419445
31,1.8806,306,0.4915,9,189,112,0.69322936
33,1.9182,328,0.4892,2,173,128,0.69780346
28,1.1995,279,0.487,3,177,124,0.53967546
31,1.4121,294,0.4847,7,154,147,0.60879399
28,1.9314,280,0.4825,11,182,119,0.48558333
35,1.8764,345,0.4802,6,170,131,0.59059091
32,1.9038,316,0.478,8,166,135,0.61829216
32,1.8796,317,0.4757,7,184,117,0.55133065
31,1.8652,306,0.4735,7,173,128,0.62638939
33,1.878,317,0.4712,3,167,134,0.58048037
33,1.6697,336,0.469,4,158,143,0.57221453
32,1.2447,301,0.4667,10,176,125,0.60868659
29,1.802,300,0.4645,0,166,135,0.52731773
30,1.9066,294,0.4622,6,156,145,0.54034466
32,1.8824,308,0.46,2,166,135,0.57844869
26,1.8496,270,0.4577,0,154,147,0.4936297
36,1.8489,360,0.4555,0,172,129,0.58865277
32,1.5344,313,0.4532,7,183,118,0.50590284
35,1.2752,348,0.451,4,193,108,0.54032992
33,1.8489,330,0.4487,2,177,124,0.56926489
32,1.8733,316,0.4465,4,188,113,0.52886925
34,1.8954,338,0.4442,3,180,121,0.58785468
34,1.8911,335,0.442,6,168,133,0.50073323
34,1.9087,335,0.4397,6,177,124,0.57889712
34,1.8864,334,0.4375,9,192,109,0.48315969
33,1.8791,330,0.4352,0,170,131,0.54543293
33,1.9132,327,0.433,4,174,127,0.52400364
36,1.3113,353,0.4307,9,188,113,0.59192809
34,1.8895,338,0.4285,3,169,132,0.58812224
33,1.8636,326,0.4262,4,184,117,0.49531768
33,1.8482,330,0.424,0,202,99,0.51869194
35,1.849,343,0.4217,11,204,97,0.58110814
26,1.3667,251,0.4195,11,187,114,0.48904017
36,1.833,355,0.4172,7,203,98,0.48730588
43,1.8542,418,0.415,2,198,103,0.65839151
35,1.8556,356,0.4127,5,174,127,0.59965238
36,1.8554,354,0.4105,6,175,126,0.55132881
32,1.964,316,0.4082,4,184,117,0.57672581
34,1.9205,340,0.406,0,185,116,0.4767366
33,1.8746,330,0.4037,0,177,124,0.55662468
35,1.8945,350,0.4015,1,185,116,0.55002381
31,1.9041,308,0.3992,3,186,115,0.51594696
35,1.3342,340,0.397,0,182,119,0.54705591
35,1.8542,360,0.3947,0,183,118,0.51408796
35,1.8548,350,0.3925,2,183,118,0.62607636
33,1.9502,326,0.3902,7,184,117,0.52581974
29,1.8365,287,0.388,4,180,121,0.39284934
36,1.8821,351,0.3857,9,196,105,0.56770325
33,1.8724,320,0.3835,12,179,122,0.50907804
31,1.8667,308,0.3812,3,191,110,0.47550122
35,1.4737,335,0.379,7,199,102,0.51108342
35,1.7209,358,0.3767,2,193,108,0.5772066
36,1.8724,359,0.3745,4,199,102,0.56548025
35,1.9466,342,0.3722,9,196,105,0.48495998
40,1.8574,394,0.37,11,216,85,0.50072742
34,1.8714,332,0.3677,15,198,103,0.45755213
33,2.0235,327,0.3655,10,215,86,0.5028665
38,1.9298,374,0.3632,15,217,84,0.61963904
36,1.9194,346,0.361,20,206,95,0.53230082
36,1.5512,341,0.3587,16,204,97,0.57217055
37,1.8628,377,0.3565,11,223,78,0.53069746
37,1.9481,364,0.3542,13,211,90,0.57320944
39,2.0917,383,0.352,14,212,89,0.5775724
35,1.9444,350,0.3497,1,206,95,0.49167058
35,2.0503,347,0.3475,8,209,92,0.49239499
34,1.9152,337,0.3452,3,184,117,0.51436717
37,1.8749,369,0.343,3,211,90,0.50212834
40,1.3308,397,0.3407,7,210,91,0.55116651
39,2.0305,389,0.3385,9,217,84,0.63294003
33,1.9667,316,0.3362,7,190,111,0.53418204
38,1.9544,388,0.334,2,191,110,0.47846524
35,1.9932,347,0.3317,3,172,129,0.54191989
31,1.9956,298,0.3295,3,188,113,0.49441926
40,1.9448,404,0.3272,8,200,101,0.52842385
